Titre,Note,URL,Commentaire
454 Withnell Crescent,,https://www.google.com/maps/place/454+Withnell+Crescent/data=!4m2!3m1!1s0x882b5de0e8e37f93:0x612393e2b15a7922,
2275 Yolanda Dr,,https://www.google.com/maps/place/2275+Yolanda+Dr/data=!4m2!3m1!1s0x882b5ddf937e8d35:0xfbe516cea98798e9,
406 Yale Crescent,,https://www.google.com/maps/place/406+Yale+Crescent/data=!4m2!3m1!1s0x882b5de087b30b45:0x13097ce13592b527,
2039 Rebecca St,,https://www.google.com/maps/place/2039+Rebecca+St/data=!4m2!3m1!1s0x882b5dda42ab4f51:0xd5826cf629f2d04e,
1085 Glenbrook Ave,,https://www.google.com/maps/place/1085+Glenbrook+Ave/data=!4m2!3m1!1s0x882b42d7cea8968d:0xff7b8ec60a1b6f16,
2184 Dunvegan Ave,,https://www.google.com/maps/place/2184+Dunvegan+Ave/data=!4m2!3m1!1s0x882b43581af39811:0x4ee960c0f8afa775,
2840 Rosewood Ln,,https://www.google.com/maps/place/2840+Rosewood+Ln/data=!4m2!3m1!1s0x882b4361b8eef993:0xfb6f936d6e2abe0c,
427 Bedford Rd,,https://www.google.com/maps/place/427+Bedford+Rd/data=!4m2!3m1!1s0x882b4355cd15e17b:0x63bffb9e2a1e619,
2480 Prince Michael Drive,,https://www.google.com/maps/place/2480+Prince+Michael+Drive/data=!4m2!3m1!1s0x882b43b88efd2367:0xec0fb35ae97ac919,
1189 Jeff Dr,,https://www.google.com/maps/place/1189+Jeff+Dr/data=!4m2!3m1!1s0x882b435d69008209:0xb58a883195d5f00e,
1149 Gable Dr,,https://www.google.com/maps/place/1149+Gable+Dr/data=!4m2!3m1!1s0x882b435d921a45db:0x8ccfcf3678f29a8e,
69 Birkbank Dr,,https://www.google.com/maps/place/69+Birkbank+Dr/data=!4m2!3m1!1s0x882b44b7e8bde1c1:0xf9400c95affc3cbe,
1512 Prince John Cir,,https://www.google.com/maps/place/1512+Prince+John+Cir/data=!4m2!3m1!1s0x882b4370666d1875:0xeea8280b7650f5b2,
2701 Kingsway Dr,,https://www.google.com/maps/place/2701+Kingsway+Dr/data=!4m2!3m1!1s0x882b43683110737f:0x1bd7e52c5445dd6f,
1229 Valerie Crescent,,https://www.google.com/maps/place/1229+Valerie+Crescent/data=!4m2!3m1!1s0x882b4369cacf79ff:0x24ba207aaca7f136,
2335 North Ridge Trail,,https://www.google.com/maps/place/2335+North+Ridge+Trail/data=!4m2!3m1!1s0x882b42deed79052f:0x5b5bbb1e9ef22abc,
224 Digby Rd,,https://www.google.com/maps/place/224+Digby+Rd/data=!4m2!3m1!1s0x882b44ae366387bd:0x9789ad122401f769,
1534 Prince John Cir,,https://www.google.com/maps/place/1534+Prince+John+Cir/data=!4m2!3m1!1s0x882b437a8fca240d:0x28351025aae95aa3,
1257 Falgarwood Dr,,https://www.google.com/maps/place/1257+Falgarwood+Dr/data=!4m2!3m1!1s0x882b433408cf5f01:0x5a86efb46a8c1b99,
1055 Montrose Abbey Dr,,https://www.google.com/maps/place/1055+Montrose+Abbey+Dr/data=!4m2!3m1!1s0x882b5d09d9f64021:0xf2b4a7eedb7a91bf,
1143 Leewood Dr,,https://www.google.com/maps/place/1143+Leewood+Dr/data=!4m2!3m1!1s0x882b5d0f6d2b94fd:0xd12eb62991593d90,
1048 Runnymead Crescent,,https://www.google.com/maps/place/1048+Runnymead+Crescent/data=!4m2!3m1!1s0x882b5da0f366c263:0x18c414273763930c,
462 Maplehurst Ave,,https://www.google.com/maps/place/462+Maplehurst+Ave/data=!4m2!3m1!1s0x882b5db30c7890fd:0x670b1dcf9571ad73,
401 Lakeshore Rd E,,https://www.google.com/maps/place/401+Lakeshore+Rd+E/data=!4m2!3m1!1s0x882b5c90e76dd35b:0xe0c2c5758f1967fd,
561 Stonecliffe Rd,,https://www.google.com/maps/place/561+Stonecliffe+Rd/data=!4m2!3m1!1s0x882b5db7688f66a1:0x4b1a0417a5341ec9,
1111 Mayfair Rd,,https://www.google.com/maps/place/1111+Mayfair+Rd/data=!4m2!3m1!1s0x882b5da1c7c2326f:0xdc2ecf3eedb833b6,
316 Pinegrove Rd,,https://www.google.com/maps/place/316+Pinegrove+Rd/data=!4m2!3m1!1s0x882b5c56038e4079:0x9431285cd7dcd350,
2300 Brays Ln,,https://www.google.com/maps/place/2300+Brays+Ln/data=!4m2!3m1!1s0x882b5d8abf54a381:0xc2336b0d7f7d9791,
